"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"5146","Uelzen","10.528857","52.941435","50.0","https://cdc.dwd.de/rest/metadata/station/html/812300572135"
"1204","Elsfleth","8.4612","53.2346","1.0","https://cdc.dwd.de/rest/metadata/station/html/812300573415"
"3222","Meerbeck","9.1403","52.3411","60.0","https://cdc.dwd.de/rest/metadata/station/html/812300578407"
"5344","Wangerooge","7.909559","53.786537","2.0","https://cdc.dwd.de/rest/metadata/station/html/812300583399"
"850","Celle","10.029573","52.595933","39.0","https://cdc.dwd.de/rest/metadata/station/html/812300623911"
"3639","Nordholz (Flugplatz)","8.658329","53.764673","25.0","https://cdc.dwd.de/rest/metadata/station/html/812300628903"
"705","Bremervörde-Niederochtenhausen","9.1664","53.5312","5.0","https://cdc.dwd.de/rest/metadata/station/html/812300630183"
"7373","Borkum-Flugplatz","6.702358","53.598388","3.0","https://cdc.dwd.de/rest/metadata/station/html/812300633895"
"2464","Jork","9.6752","53.5316","1.0","https://cdc.dwd.de/rest/metadata/station/html/812300635175"
"4367","Salzhemmendorf-Lauenstein","9.551981","52.078066","175.0","https://cdc.dwd.de/rest/metadata/station/html/812300640167"
"294","Barsinghausen-Hohenbostel","9.429984","52.31985","110.0","https://cdc.dwd.de/rest/metadata/station/html/812300680679"
"3023","Lingen","7.308057","52.518093","22.0","https://cdc.dwd.de/rest/metadata/station/html/812300685671"
"619","Borkum-Süderstraße","6.670348","53.578793","12.0","https://cdc.dwd.de/rest/metadata/station/html/812300686951"
"5715","Wunstorf","9.431127","52.46051","57.0","https://cdc.dwd.de/rest/metadata/station/html/812300690663"
"1299","Esens","7.6085","53.6476","3.0","https://cdc.dwd.de/rest/metadata/station/html/812300691943"
"3790","Oldenburg (A)","8.2516","53.1018","5.0","https://cdc.dwd.de/rest/metadata/station/html/812300696935"
"5821","Bassum (A)","8.719","52.8482","36.0","https://cdc.dwd.de/rest/metadata/station/html/812300701927"
"1339","Faßberg","10.188545","52.915652","73.0","https://cdc.dwd.de/rest/metadata/station/html/812300742439"
"4745","Soltau","9.793049","52.960408","75.0","https://cdc.dwd.de/rest/metadata/station/html/812300747431"
"863","Clausthal-Zellerfeld","10.347","51.7904","585.0","https://cdc.dwd.de/rest/metadata/station/html/812300748711"
"13777","Helmstedt-Emmerstedt","10.959196","52.246667","110.0","https://cdc.dwd.de/rest/metadata/station/html/812300752423"
"2861","Langeoog","7.4775","53.7445","5.0","https://cdc.dwd.de/rest/metadata/station/html/812300753703"
"5067","Torfhaus im Solling","9.5628","51.7643","491.0","https://cdc.dwd.de/rest/metadata/station/html/812300758695"
"656","Braunlage","10.602109","51.723383","607.0","https://cdc.dwd.de/rest/metadata/station/html/812300799207"
"3254","Meppen","7.317629","52.715579","19.0","https://cdc.dwd.de/rest/metadata/station/html/812300804199"
"645","Bramsche","7.968234","52.408318","75.0","https://cdc.dwd.de/rest/metadata/station/html/812300805479"
"6157","Wangerland-Hooksiel","8.080849","53.641047","8.0","https://cdc.dwd.de/rest/metadata/station/html/812300809191"
"2039","Harzburg, Bad","10.569851","51.900249","201.0","https://cdc.dwd.de/rest/metadata/station/html/812300810471"
"3867","Papenburg","7.481371","53.064298","7.0","https://cdc.dwd.de/rest/metadata/station/html/812300815463"
"13776","Hildesheim-Drispenstedt","9.9524","52.1789","85.0","https://cdc.dwd.de/rest/metadata/station/html/812300820455"
"1691","Göttingen","9.950659","51.500248","167.0","https://cdc.dwd.de/rest/metadata/station/html/812300860967"
"172","Annaturm","9.5056","52.2486","395.0","https://cdc.dwd.de/rest/metadata/station/html/812300862247"
"5014","Worpswede-Hüttenbusch","8.985687","53.275827","7.0","https://cdc.dwd.de/rest/metadata/station/html/812300865959"
"1172","Einbeck","9.8871","51.8189","123.0","https://cdc.dwd.de/rest/metadata/station/html/812300867239"
"3103","Lüneburg","10.424","53.2657","11.0","https://cdc.dwd.de/rest/metadata/station/html/812300872231"
"5252","Voldagsen","9.5845","52.103","100.0","https://cdc.dwd.de/rest/metadata/station/html/812300877223"
"769","Bückeburg","9.088939","52.281732","68.0","https://cdc.dwd.de/rest/metadata/station/html/812300917735"
"3631","Norderney","7.151923","53.712304","11.0","https://cdc.dwd.de/rest/metadata/station/html/812300922727"
"703","Bremervörde (A)","9.1553","53.4779","5.0","https://cdc.dwd.de/rest/metadata/station/html/812300924007"
"7367","Alfeld","9.80717","51.964331","144.0","https://cdc.dwd.de/rest/metadata/station/html/812300927719"
"2456","Jever","7.8806","53.5322","7.0","https://cdc.dwd.de/rest/metadata/station/html/812300928999"
"4364","Salzgitter-Ringelheim","10.3054","52.0355","138.0","https://cdc.dwd.de/rest/metadata/station/html/812300933991"
"102","Leuchtturm Alte Weser","8.1275","53.86333","32.0","https://cdc.dwd.de/rest/metadata/station/html/812300974503"
"5822","Bassum","8.698827","52.86304","40.0","https://cdc.dwd.de/rest/metadata/station/html/812300975038"
"2323","Bevern, Kr. Holzminden","9.495274","51.85294","110.0","https://cdc.dwd.de/rest/metadata/station/html/812300979495"
"588","Boffzen","9.3953","51.752","105.0","https://cdc.dwd.de/rest/metadata/station/html/812300980775"
"5676","Wolfsburg (Südwest)","10.689225","52.396186","82.0","https://cdc.dwd.de/rest/metadata/station/html/812300984487"
"1221","Emden-Wolthusen","7.2236","53.3707","0.0","https://cdc.dwd.de/rest/metadata/station/html/812300985767"
"3640","Nordhorn-Blanke","7.063994","52.412368","24.0","https://cdc.dwd.de/rest/metadata/station/html/812300990759"
"5675","Wolfsburg","10.7587","52.4411","56.0","https://cdc.dwd.de/rest/metadata/station/html/812300995751"
"2324","Holzminden-Silberborn","9.5447","51.7659","440.0","https://cdc.dwd.de/rest/metadata/station/html/812301009740"
