"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"6217","Saarbrücken-Burbach","6.935134","49.240557","190.0","https://cdc.dwd.de/rest/metadata/station/html/812300236519"
"3904","Perl-Nennig","6.378874","49.535353","152.0","https://cdc.dwd.de/rest/metadata/station/html/812300323239"
"460","Berus","6.68677","49.264065","363.0","https://cdc.dwd.de/rest/metadata/station/html/812300498535"
"5433","Weiskirchen/Saar","6.811951","49.553365","380.0","https://cdc.dwd.de/rest/metadata/station/html/812300530343"
"4336","Saarbrücken-Ensheim","7.107712","49.212803","320.0","https://cdc.dwd.de/rest/metadata/station/html/812300560295"
"3545","Neunkirchen-Wellesweiler","7.229738","49.343983","236.0","https://cdc.dwd.de/rest/metadata/station/html/812300617063"
"5029","Tholey","7.038578","49.473764","386.0","https://cdc.dwd.de/rest/metadata/station/html/812300824167"
